game,p0_delta,p0_fold_rate,p0_call_rate,p0_raise_rate,p0_actor_loss,p0_critic_loss,p0_sl_loss,p0_reservoir,p1_delta,p1_fold_rate,p1_call_rate,p1_raise_rate,p1_actor_loss,p1_critic_loss,p1_sl_loss,p1_reservoir,p2_delta,p2_fold_rate,p2_call_rate,p2_raise_rate,p2_actor_loss,p2_critic_loss,p2_sl_loss,p2_reservoir,p3_delta,p3_fold_rate,p3_call_rate,p3_raise_rate,p3_actor_loss,p3_critic_loss,p3_sl_loss,p3_reservoir
301,-10000,0.214,0.214,0.571,0.0,0.0,0.0,0,-10000,0.222,0.167,0.611,0.0,0.0,0.0,0,-10000,0.5,0.0,0.5,0.0,0.0,0.0,0,30000,0.238,0.143,0.619,-0.2024,211.3219,0.0,8
302,-10000,0.15,0.2,0.65,0.0,0.0,0.0,0,-10000,0.25,0.143,0.607,0.0,0.0,0.0,0,30000,0.143,0.238,0.619,26.7334,4820.0864,0.0,6,-10000,0.2,0.2,0.567,41.1181,335.9941,0.0,9
303,-10000,0.273,0.273,0.424,0.0,0.0,0.0,0,30000,0.211,0.105,0.684,-0.0447,0.0001,0.0,2,-10000,0.136,0.273,0.591,26.7334,4820.0864,0.0,6,-10000,0.188,0.219,0.562,41.1181,335.9941,0.0,9
304,-10000,0.263,0.237,0.474,0.0,0.0,0.0,0,30000,0.217,0.109,0.674,0.0133,3833.7996,0.0,5,-10000,0.103,0.31,0.552,26.7334,4820.0864,0.0,6,-10000,0.194,0.194,0.583,41.1181,335.9941,0.0,9
305,-10000,0.291,0.182,0.509,0.0,0.0,0.0,0,-10000,0.185,0.093,0.722,0.0133,3833.7996,0.0,5,-10000,0.0,1.0,0.0,26.7334,4820.0864,0.0,6,30000,0.145,0.164,0.655,-0.0352,0.0837,0.0,11
306,30000,0.305,0.169,0.508,0.0,0.0,0.0,0,-10000,0.186,0.119,0.695,-0.3681,559.374,0.0,7,-10000,0.125,0.344,0.5,26.7334,4820.0864,0.0,6,-10000,0.133,0.167,0.667,-0.0352,0.0837,0.0,11
307,-10000,0.302,0.175,0.508,0.0,0.0,0.0,0,-10000,0.183,0.117,0.7,-0.3681,559.374,0.0,7,30000,0.098,0.341,0.488,-0.0857,106.3686,0.0,10,-10000,0.136,0.182,0.636,-0.0352,0.0837,0.0,11
308,30000,0.324,0.176,0.485,-0.2549,0.0096,0.0,1,-10000,0.185,0.108,0.708,-0.3681,559.374,0.0,7,-10000,0.095,0.357,0.476,-0.0857,106.3686,0.0,10,-10000,0.25,0.25,0.5,-0.0352,0.0837,0.0,11
309,-10000,0.32,0.2,0.453,-21.6681,921.567,0.0,2,30000,0.15,0.2,0.35,-0.3681,559.374,0.0,7,-10000,0.097,0.333,0.514,-0.0518,0.0001,0.0,15,-10000,0.132,0.191,0.632,-0.0352,0.0837,0.0,11
310,-10000,0.325,0.217,0.434,-21.6681,921.567,0.0,2,-10000,0.203,0.114,0.684,-0.3681,559.374,0.0,7,30000,0.102,0.318,0.534,-0.0518,0.0001,0.0,15,-10000,0.122,0.176,0.662,-0.0352,0.0837,0.0,11
311,30000,0.322,0.211,0.444,-21.6681,921.567,0.0,2,-10000,0.193,0.102,0.705,-0.3681,559.374,0.0,7,-10000,0.097,0.301,0.559,-0.0518,0.0001,0.0,15,-10000,0.133,0.169,0.663,-0.496,202.6148,0.0,14
312,-10000,0.312,0.208,0.458,-21.6681,921.567,0.0,2,-10000,0.189,0.111,0.7,-0.3681,559.374,0.0,7,30000,0.089,0.327,0.535,-0.0518,0.0001,0.0,15,-10000,0.141,0.163,0.663,-0.5007,0.0137,0.0,16
313,-10000,0.317,0.198,0.465,-21.6681,921.567,0.0,2,30000,0.203,0.288,0.254,-0.3681,559.374,0.0,7,-10000,0.096,0.317,0.538,-0.0518,0.0001,0.0,15,-10000,0.109,0.133,0.719,-0.0454,3061.2437,0.0,31
314,-10000,0.311,0.194,0.476,-21.6681,921.567,0.0,2,30000,0.198,0.115,0.688,-0.3681,559.374,0.0,7,-10000,0.093,0.324,0.537,-0.0518,0.0001,0.0,15,-10000,0.213,0.295,0.246,-0.0454,3061.2437,0.0,31
315,-10000,0.303,0.193,0.486,-21.6681,921.567,0.0,2,30000,0.196,0.118,0.686,-0.3681,559.374,0.0,7,-10000,0.091,0.327,0.536,-0.0518,0.0001,0.0,15,-10000,0.118,0.14,0.706,-52.1459,779.2665,1.8786,35
316,-10000,0.336,0.176,0.472,0.4144,872.5742,0.0,6,-10000,0.192,0.125,0.683,-0.3681,559.374,0.0,7,30000,0.0,0.0,1.0,-0.0518,0.0001,0.0,15,-10000,0.141,0.141,0.683,-41.3708,6919.5625,1.7806,36
317,-10000,0.338,0.169,0.477,0.4144,872.5742,0.0,6,30000,0.183,0.119,0.697,-0.3681,559.374,0.0,7,-10000,0.104,0.339,0.513,-0.0518,0.0001,0.0,15,-10000,0.0,0.5,0.5,-41.3708,6919.5625,1.7806,36
318,-10000,0.317,0.2,0.469,-0.238,8913.9365,0.0,8,30000,0.267,0.0,0.733,-0.3681,559.374,0.0,7,-10000,0.103,0.345,0.509,-0.0518,0.0001,0.0,15,-10000,0.145,0.132,0.691,0.1104,0.006,1.7806,37
319,30000,0.319,0.2,0.469,-0.238,8913.9365,0.0,8,-10000,0.0,0.0,1.0,-0.3681,559.374,0.0,7,-10000,0.11,0.303,0.538,-0.0529,3957.4788,0.0,24,-10000,0.153,0.127,0.688,0.1104,0.006,1.6975,37
320,-10000,0.303,0.189,0.497,-0.238,8913.9365,0.0,8,-10000,0.174,0.107,0.719,-0.0549,872.6976,0.0,10,-10000,0.189,0.0,0.811,-0.0529,3957.4788,0.0,24,30000,0.183,0.308,0.173,0.1104,0.006,1.6975,37
321,30000,0.301,0.191,0.497,-0.238,8913.9365,0.0,8,-10000,0.0,0.5,0.5,-0.0549,872.6976,0.0,10,-10000,0.107,0.3,0.547,-0.0529,3957.4788,0.0,24,-10000,0.147,0.129,0.694,0.2665,2879.1484,1.6975,40
322,-10000,0.284,0.204,0.502,-0.2834,1242.4127,0.0,14,30000,0.231,0.154,0.615,-0.0549,872.6976,0.0,10,-10000,0.0,0.0,1.0,-0.0529,3957.4788,0.0,24,-10000,0.149,0.126,0.697,0.2665,2879.1484,1.6322,40
323,-10000,0.284,0.201,0.505,-0.2834,1242.4127,0.0,14,30000,0.0,0.1,0.9,-0.0549,872.6976,0.0,10,-10000,0.106,0.298,0.55,-0.0529,3957.4788,0.0,24,-10000,0.273,0.318,0.364,0.2665,2879.1484,1.6322,40
324,-10000,0.294,0.202,0.496,0.0323,0.0035,0.0,15,30000,0.178,0.089,0.733,-0.0652,0.0635,0.0,14,-10000,0.2,0.0,0.8,-0.0529,3957.4788,0.0,24,-10000,0.141,0.125,0.708,-0.0299,229.479,1.4571,43
325,30000,0.294,0.192,0.506,0.3225,126.9878,0.0,18,-10000,0.177,0.095,0.728,-0.0652,0.0635,0.0,14,-10000,0.105,0.303,0.546,-0.0529,3957.4788,0.0,24,-10000,0.0,0.0,1.0,-0.0299,229.479,1.4571,43
326,-10000,0.291,0.187,0.514,-34.0689,321.4936,0.0,19,-10000,0.181,0.094,0.725,-0.0652,0.0635,0.0,14,-10000,0.0,0.0,1.0,-0.0529,3957.4788,0.0,24,30000,0.189,0.311,0.17,-0.0299,229.479,1.4571,43
327,-10000,0.282,0.176,0.514,-34.0689,321.4936,0.0,19,-10000,0.182,0.088,0.729,-0.0652,0.0635,0.0,14,-10000,0.0,0.0,1.0,-0.0529,3957.4788,0.0,24,30000,0.293,0.224,0.276,-0.0299,229.479,1.4571,43
328,-10000,0.29,0.171,0.509,-34.0689,321.4936,0.0,19,-10000,0.292,0.0,0.708,-0.0652,0.0635,0.0,14,30000,0.107,0.305,0.542,-0.0702,0.0004,0.0,25,-10000,0.283,0.25,0.267,-0.0299,229.479,1.4571,43
329,-10000,0.283,0.173,0.515,-201.6547,11073.6924,0.0,23,30000,0.197,0.09,0.713,-0.0652,0.0635,0.0,14,-10000,0.25,0.0,0.75,-0.0702,0.0004,0.0,25,-10000,0.139,0.124,0.713,-0.0299,229.479,1.4825,43
330,-10000,0.282,0.17,0.519,-201.6547,11073.6924,0.0,23,30000,0.202,0.093,0.705,-0.0652,0.0635,0.0,14,-10000,0.107,0.303,0.545,-0.0702,0.0004,0.0,25,-10000,0.0,0.333,0.667,-0.0299,229.479,1.4825,43
331,30000,0.278,0.173,0.522,0.3243,4875.6128,0.0,26,-10000,0.194,0.094,0.712,-0.0652,0.0635,0.0,14,-10000,0.0,0.0,1.0,-0.0702,0.0004,0.0,25,-10000,0.14,0.13,0.705,-0.0299,229.479,1.4825,43
332,-10000,0.276,0.172,0.525,0.3243,4875.6128,0.0,26,-10000,0.337,0.256,0.221,-0.0652,0.0635,0.0,14,-10000,0.089,0.277,0.587,-0.1098,198.8508,2.0178,35,30000,0.25,0.0,0.75,-0.0299,229.479,1.4825,43
333,30000,0.28,0.175,0.515,65.695,8131.168,0.0,27,-10000,0.193,0.099,0.708,-0.0652,0.0635,0.0,14,-10000,0.0,0.25,0.75,-0.1098,198.8508,2.0178,35,-10000,0.139,0.13,0.707,-0.0299,229.479,1.4825,43
334,30000,0.274,0.178,0.513,65.695,8131.168,0.0,27,-10000,0.198,0.109,0.688,-0.0652,0.0635,0.0,14,-10000,0.167,0.0,0.833,-0.1098,198.8508,2.0178,35,-10000,0.155,0.132,0.691,0.6381,27531.707,1.467,47
335,30000,0.266,0.176,0.524,-0.0846,25.8822,0.0,30,-10000,0.197,0.113,0.685,-0.0652,0.0635,0.0,14,-10000,0.25,0.0,0.75,-0.1098,198.8508,2.0178,35,-10000,0.152,0.134,0.692,0.6381,27531.707,1.4048,47
336,-10000,0.267,0.175,0.525,-0.0846,25.8822,0.0,30,30000,0.0,0.0,1.0,-0.0652,0.0635,0.0,14,-10000,0.333,0.264,0.218,-0.1098,198.8508,2.0178,35,-10000,0.158,0.14,0.68,-26.7072,893.8613,1.4048,48
337,-10000,0.266,0.175,0.526,-0.0846,25.8822,0.0,30,30000,0.246,0.27,0.183,-0.0652,0.0635,0.0,14,-10000,0.089,0.28,0.585,-0.1098,198.8508,2.0178,35,-10000,0.143,0.0,0.857,-26.7072,893.8613,1.4048,48
338,-10000,0.264,0.177,0.526,-0.0846,25.8822,0.0,30,-10000,0.0,0.0,1.0,-0.0652,0.0635,0.0,14,-10000,0.089,0.283,0.582,-0.1098,198.8508,2.0178,35,30000,0.252,0.267,0.191,-26.7072,893.8613,1.4048,48
339,-10000,0.257,0.172,0.534,-0.1686,2974.5239,2.9875,42,-10000,0.198,0.111,0.686,-0.0652,0.0635,0.0,14,30000,0.214,0.302,0.143,-0.1098,198.8508,2.0178,35,-10000,0.0,0.0,1.0,-26.7072,893.8613,1.4048,48
340,30000,0.249,0.187,0.529,-0.2817,657.8807,2.8238,48,-10000,0.193,0.103,0.7,-0.0322,284.2332,0.0,20,-10000,0.25,0.0,0.75,-0.1098,198.8508,2.0178,35,-10000,0.155,0.138,0.685,-26.7072,893.8613,1.3608,48
341,-10000,0.249,0.185,0.531,-0.2817,657.8807,2.8238,48,-10000,0.2,0.1,0.696,0.4575,11948.8164,0.0,22,30000,0.092,0.281,0.574,-0.526,0.0353,2.0145,36,-10000,0.25,0.0,0.75,-26.7072,893.8613,1.3608,48
342,30000,0.243,0.18,0.543,-0.0981,75.8335,2.2144,52,-10000,0.25,0.0,0.75,0.4575,11948.8164,0.0,22,-10000,0.212,0.267,0.164,-0.526,0.0353,2.0145,36,-10000,0.165,0.137,0.679,0.1029,0.0056,1.3489,51
343,-10000,0.243,0.179,0.545,-0.0981,75.8335,2.0182,52,-10000,0.198,0.099,0.698,0.4575,11948.8164,0.0,22,30000,0.0,0.067,0.933,-0.526,0.0353,2.0145,36,-10000,0.174,0.143,0.664,-0.0734,2.909,1.2038,53
344,-10000,0.24,0.183,0.544,-0.0981,75.8335,2.0182,52,-10000,0.356,0.0,0.644,0.4575,11948.8164,0.0,22,30000,0.082,0.246,0.631,-0.0158,0.0002,1.429,52,-10000,0.211,0.305,0.148,-0.0734,2.909,1.2038,53
345,-10000,0.24,0.185,0.542,-0.0981,75.8335,1.9855,52,-10000,0.197,0.103,0.695,0.4575,11948.8164,0.0,22,30000,0.234,0.0,0.766,-0.0158,0.0002,1.429,52,-10000,0.177,0.133,0.674,-0.0531,18.384,1.2383,58
346,-10000,0.239,0.185,0.543,-0.0981,75.8335,1.9855,52,-10000,0.22,0.277,0.156,0.4575,11948.8164,0.0,22,30000,0.08,0.244,0.636,-0.0158,0.0002,1.429,52,-10000,0.429,0.0,0.571,-0.0531,18.384,1.2383,58
347,-10000,0.236,0.185,0.547,-0.0981,75.8335,1.4989,52,-10000,0.2,0.0,0.8,0.4575,11948.8164,0.0,22,-10000,0.079,0.246,0.635,-0.0587,895.8981,1.477,54,30000,0.209,0.264,0.134,-0.0531,18.384,1.2383,58
348,-10000,0.235,0.184,0.549,-0.0981,75.8335,1.4989,52,-10000,0.196,0.106,0.694,0.4575,11948.8164,0.0,22,-10000,0.077,0.242,0.643,-0.0587,895.8981,1.2462,54,30000,0.333,0.0,0.667,-0.0531,18.384,1.2383,58
349,30000,0.234,0.186,0.548,-0.0981,75.8335,1.4989,52,-10000,0.0,0.143,0.857,0.4575,11948.8164,0.0,22,-10000,0.076,0.24,0.645,-0.0587,895.8981,1.2462,54,-10000,0.176,0.138,0.671,-0.0531,18.384,1.2383,58
350,-10000,0.234,0.186,0.549,-0.0981,75.8335,1.4989,52,-10000,0.189,0.107,0.701,-0.112,1882.0394,0.0,25,30000,0.093,0.223,0.652,-0.0006,13.4006,1.5812,67,-10000,0.286,0.0,0.714,-0.0531,18.384,1.2383,58
351,-10000,0.233,0.185,0.55,-0.0981,75.8335,1.3381,52,30000,0.191,0.106,0.699,-0.112,1882.0394,0.0,25,-10000,0.0,0.5,0.5,-0.0006,13.4006,1.5812,67,-10000,0.176,0.142,0.666,-30.834,883.4857,1.2183,59
352,30000,0.229,0.178,0.563,0.1819,0.0131,1.3403,54,-10000,0.225,0.279,0.122,-0.112,1882.0394,0.0,25,-10000,0.098,0.219,0.651,-0.0006,13.4006,1.3232,67,-10000,0.0,0.5,0.5,-30.834,883.4857,1.2183,59
353,30000,0.22,0.173,0.57,0.3947,0.0417,1.576,64,-10000,0.333,0.0,0.667,-0.112,1882.0394,0.0,25,-10000,0.1,0.218,0.65,-0.0006,13.4006,1.3232,67,-10000,0.179,0.145,0.661,-51.0742,723.4845,1.2183,60
354,-10000,0.218,0.174,0.571,0.3947,0.0417,1.576,64,-10000,0.0,1.0,0.0,-0.112,1882.0394,0.0,25,-10000,0.101,0.216,0.652,-141.7713,7106.2808,1.4691,68,30000,0.217,0.319,0.145,-51.0742,723.4845,1.2183,60
